timestamp,long,lat,comments,migration_,sensor_typ,individual,tag_ident,ind_ident,study_name,utm_east,utm_north,utm_zone,study_tz,study_ts,date,time
2008-01-01 00:00:00,-31.47,55.1,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),597624.2889594925,6106988.551180141,25N,GMT-02:00,2007-12-31 22:00:00,20210929,
2008-01-01 12:00:00,-32.28,54.49,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),546639.2865431193,6038280.076365599,25N,GMT-02:00,2008-01-01 10:00:00,20210929,
2008-01-02 00:00:00,-31.72,54.16,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),583579.1643853852,6002080.448662057,25N,GMT-02:00,2008-01-01 22:00:00,20210929,
2008-01-02 12:00:00,-31.92,54.02,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),570758.2744865189,5986286.557316007,25N,GMT-02:00,2008-01-02 10:00:00,20210929,
2008-01-03 00:00:00,-31.86,54.09,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),574563.6705156991,5994136.017092219,25N,GMT-02:00,2008-01-02 22:00:00,20210929,
2008-01-03 12:00:00,-33.67,52.58,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),454601.21228304115,5825761.470084468,25N,GMT-02:00,2008-01-03 10:00:00,20210929,
2008-01-04 00:00:00,-32.62,51.75,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),526232.2316694635,5733301.409610627,25N,GMT-02:00,2008-01-03 22:00:00,20210929,
2008-01-04 12:00:00,-30.81,53.37,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),645701.9951506732,5915666.357232894,25N,GMT-02:00,2008-01-04 10:00:00,20210929,
2008-01-05 00:00:00,-31.13,53.76,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),623275.0471740307,5958442.464742602,25N,GMT-02:00,2008-01-04 22:00:00,20210929,
2008-01-05 12:00:00,-31.2,53.74,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),618717.32238479,5956098.449385613,25N,GMT-02:00,2008-01-05 10:00:00,20210929,
2008-01-06 00:00:00,-30.89,53.61,V485077_t1,migration,solar-geolocator,Fratercula arctica,gl2345,V485077,Atlantic puffin in Iceland (Petersen),639589.7416122917,5942200.975245178,25N,GMT-02:00,2008-01-05 22:00:00,20210929,
